fid,repDist,prec,apRec,bureau,basicCar,agency,name,shapeLeng,abbrevApr,shapeArea,shapeLength
557,249,2,RAMPART,CENTRAL BUREAU,2A69,PD,0249,0.02641766,RAMP,590603.32421875,3208.71973507721
558,2042,20,OLYMPIC,WEST BUREAU,20A53,PD,2042,0.02479892,OLYM,422101.18359375,2918.84721963053
559,2046,20,OLYMPIC,WEST BUREAU,20A45,PD,2046,0.01625555,OLYM,237046.6796875,1964.20664735032
560,2049,20,OLYMPIC,WEST BUREAU,20A69,PD,2049,0.02029292,OLYM,301862.390625,2383.47511632966
561,2045,20,OLYMPIC,WEST BUREAU,20A45,PD,2045,0.01309407,OLYM,158681.99609375,1605.08615013488
562,2044,20,OLYMPIC,WEST BUREAU,20A33,PD,2044,0.01506999,OLYM,209793.51171875,1825.85337379293
563,132,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0132,0.02009398,CENT,341176.41015625,2425.92100638392
564,445,4,HOLLENBECK,CENTRAL BUREAU,4A15,PD,0445,0.02095985,HOBK,297258.953125,2447.2013979016
565,758,7,WILSHIRE,WEST BUREAU,7A47,PD,0758,0.03588036,WILS,1138254.8671875,4313.32846463973
566,265,2,RAMPART,CENTRAL BUREAU,2A75,PD,0265,0.01467469,RAMP,198832.16015625,1788.04556504697
567,123,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0123,0.01409562,CENT,171349.98046875,1727.89700933515
568,141,1,CENTRAL,CENTRAL BUREAU,1A41,PD,0141,0.01206315,CENT,104533.23046875,1462.07928814525
569,271,2,RAMPART,CENTRAL BUREAU,2A75,PD,0271,0.01807719,RAMP,259316.4453125,2204.99353176687
570,266,2,RAMPART,CENTRAL BUREAU,2A75,PD,0266,0.014784,RAMP,203495.43359375,1803.73525256405
571,449,4,HOLLENBECK,CENTRAL BUREAU,4A59,PD,0449,0.03188678,HOBK,769726.7890625,3794.46191145045
572,453,4,HOLLENBECK,CENTRAL BUREAU,4A53,PD,0453,0.03239044,HOBK,881676.58203125,3948.07079415498
573,755,7,WILSHIRE,WEST BUREAU,7A53,PD,0755,0.02959681,WILS,746978.32421875,3526.66065977133
574,859,8,WEST LOS ANGELES,WEST BUREAU,8A59,PD,0859,0.03461496,WLA,1127210.7265625,4251.65000425675
575,142,1,CENTRAL,CENTRAL BUREAU,1A41,PD,0142,0.02067503,CENT,368001.375,2485.7774798564
576,2058,20,OLYMPIC,WEST BUREAU,20A69,PD,2058,0.0204799,OLYM,293796.3203125,2394.96802956195
577,127,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0127,0.01598317,CENT,159668.0234375,2011.590762414
578,455,4,HOLLENBECK,CENTRAL BUREAU,4A53,PD,0455,0.0313533,HOBK,780476.14453125,3799.37754155299
579,124,1,CENTRAL,CENTRAL BUREAU,1A1,PD,0124,0.01335559,CENT,153169.5,1639.22186165802
580,2056,20,OLYMPIC,WEST BUREAU,20A69,PD,2056,0.02299267,OLYM,452318.2109375,2878.6145327681
581,2055,20,OLYMPIC,WEST BUREAU,20A69,PD,2055,0.02293959,OLYM,456170.91015625,2890.19328185844
582,2053,20,OLYMPIC,WEST BUREAU,20A53,PD,2053,0.01702735,OLYM,266344.6953125,2065.21399672673
583,2054,20,OLYMPIC,WEST BUREAU,20A53,PD,2054,0.01587429,OLYM,224227.34375,1934.75901100851
584,2062,20,OLYMPIC,WEST BUREAU,20A53,PD,2062,0.03189545,OLYM,782442.97265625,3872.89094500817
585,129,1,CENTRAL,CENTRAL BUREAU,1A29,PD,0129,0.0281549,CENT,676515.36328125,3379.09369615568
586,269,2,RAMPART,CENTRAL BUREAU,2A69,PD,0269,0.02462867,RAMP,444369.76953125,2902.20707087789
587,765,7,WILSHIRE,WEST BUREAU,7A47,PD,0765,0.04694051,WILS,1358345.828125,5503.2513594691
